Yahoo Kuerzel,Unternehmen
SREN.VX,SWISS RE N
STGN.SW,STARRAG GROUP N
STLN.SW,SCHMOLZ+BICKENBACH AG N
STMN.SW,STRAUMANN N
STRN.SW,SCHLATTER N
SUN.SW,SULZER N
SWTQ.SW,SCHWEITER I
SYNN.VX,SYNGENTA N
TAMN.SW,TAMEDIA N
TECN.SW,TECAN GROUP AG N
TEMN.SW,TEMENOS N
TIBN.SW,TITL BN BERG N
TKBP.SW,THURGAUER KB PS
TOHN.SW,TORNOS N
UBSG.VX,UBS GROUP N
UBXN.SW,U-BLOX N
UHR.VX,SWATCH GROUP I
UHRN.SW,SWATCH GROUP N
VACN.SW,VAT GROUP N
VAHN.SW,VAUDOISE ASSU N
VALN.SW,VALORA N
VARN.SW,VARIA US PROPERTIES N
VATN.SW,VALIANT N
VBSN.SW,IVF HARTMANN N
VCH.SW,CHARLES VOEGELE I
VET.SW,VETROPACK I
VILN.SW,VILLARS N
VLRT.SW,VALARTIS GROUP I
VONN.SW,VONTOBEL N
VPBN.SW,VPB VADUZ N
VZN.SW,VZ HOLDING N
WARN.SW,WARTECK N
WIHN.SW,WISeKey N
WKBN.SW,WALLISER KB N
WMN.SW,WALTER MEIER N
YPSN.SW,YPSOMED HLDG
ZEHN.SW,ZEHNDER N
ZG.SW,ZUGER KB I
ZUBN.SW,ZUEBLIN IMM N
ZUGN.SW,ZUG ESTATES HOLDING AG
ZURN.VX,ZURICH INSURANCE N
ZWM.SW,ZWAHLEN I
ABI.BR,AB InBev
ABLYF,Ablynx NV
ACKB.BR,Ackermans + van Haaren
AED.BR,AEDIFICA
AGS.BR,Ageas SA/NV
AGFB.BR,Agfa-Gevaert
A0M103,Arseus N. V. Por.
ZYY.BE,ASCENCIO S.C.A.
BAR.BR,Barco SA (NEW)
BEFB.BR,Befimmo
BEKB.BR,Bekaert
BGAOY,Belgacom
BCART.BR,Biocartis Ord Shs When Issued
BREB.BR,BREDERODE SA
CYAD.BR,Cardio3 Biosciences Ord Shs
A2DH76,CENERGY Holding NOM.
C70.F,CIE ENT. CFE NAM.
COFB.BR,Cofinimmo
COLR.BR,Colruytgroup
DIE.BR,D'IETEREN S.A.
DECB.BR,DECEUNINCK
ECONB.BR,Econocom Ord Shs
E4S.F,ELIA SYSTEM OPERA. SA/NV
EURN,EURONAV NV
EVS.BR,EVS BROADCAST EQUIPMNT SA
EXM.BR,EXMAR INH.
TUB.BR,Fin De Tubize Act
FLUX.BR,FLUXYS S.A. D
GLPG.BR,Galapagos
GLPG.AS,Galapagos SP ADR
GBLB.BR,GBL
GIMV.BR,GIMV SA
HOMI.BR,HOME INVEST BELGIUM
INTO.BR,INTERVEST OFFICES+WAREHO.
INTO.BR,INTERVEST RETAIL
IBAB.BR,ION BEAM APPLICATION
KBCA.BR,KBC ANCORA NAM.
KBC.BR,KBC Groep
KEYW.BR,Keyware Technologies
KIN.BR,KINEPOLIS GRP SA
A142R7,KKO International SA Ord Shs
L3R.BE,LEASINVEST REAL ESTATE
MDXH.BR,Mdxhealth S.A.
MELE.BR,Melexis Nv
MITRA.BR,Mithra Pharmaceutic
MBSRY,Mobistar
M8E.F,MONTEA S.C.A.
OINA.BE,OPTION N.V. NOM.NOUV.
REA.BR,REALDOLMEN S.A.
